"sampleID" "TMB_tumor" "TMB_paired"
"249" "TCGA-73-4666-01A-01D-1265-08" 299 347
"250" "TCGA-73-4668-01A-01D-1265-08" 345 353
"251" "TCGA-73-4670-01A-01D-1265-08" 198 295
"252" "TCGA-73-4675-01A-01D-1265-08" 44 53
"253" "TCGA-73-4676-01A-01D-1753-08" 74 74
"254" "TCGA-73-4677-01A-01D-1265-08" 145 196
"255" "TCGA-73-7498-01A-12D-2184-08" 89 82
"256" "TCGA-73-7499-01A-11D-2184-08" 76 60
"257" "TCGA-73-A9RS-01A-11D-A410-08" 592 713
"258" "TCGA-75-5122-01A-01D-1753-08" 112 109
"259" "TCGA-75-5125-01A-01D-1753-08" 109 127
"260" "TCGA-75-5126-01A-01D-1753-08" 542 573
"261" "TCGA-75-5146-01A-01D-1625-08" 138 150
"262" "TCGA-75-5147-01A-01D-1625-08" 41 32
"263" "TCGA-75-6203-01A-11D-1753-08" 18 13
"264" "TCGA-75-6205-01A-11D-1753-08" 37 34
"265" "TCGA-75-6206-01A-11D-1753-08" 70 61
"266" "TCGA-75-6207-01A-11D-1753-08" 75 50
"267" "TCGA-75-6211-01A-11D-1753-08" 281 277
"268" "TCGA-75-6212-01A-11D-1753-08" 24 16
"269" "TCGA-75-6214-01A-41D-1945-08" 450 604
"270" "TCGA-75-7025-01A-12D-1945-08" 24 28
"271" "TCGA-75-7027-01A-11D-1945-08" 182 217
"272" "TCGA-75-7030-01A-11D-1945-08" 14 14
"273" "TCGA-75-7031-01A-11D-1945-08" 169 179
"274" "TCGA-78-7145-01A-11D-2036-08" 149 149
"275" "TCGA-78-7146-01A-11D-2036-08" 265 296
"276" "TCGA-78-7147-01A-11D-2036-08" 230 253
"277" "TCGA-78-7148-01A-11D-2036-08" 137 188
"278" "TCGA-78-7149-01A-11D-2036-08" 125 131
"279" "TCGA-78-7150-01A-21D-2036-08" 266 337
"280" "TCGA-78-7152-01A-11D-2036-08" 177 174
"281" "TCGA-78-7153-01A-11D-2036-08" 78 101
"282" "TCGA-78-7154-01A-11D-2036-08" 157 219
"283" "TCGA-78-7155-01A-11D-2036-08" 645 1142
"284" "TCGA-78-7156-01A-11D-2036-08" 241 285
"285" "TCGA-78-7158-01A-11D-2036-08" 174 206
"286" "TCGA-78-7159-01A-11D-2036-08" 207 264
"287" "TCGA-78-7160-01A-11D-2036-08" 64 65
"288" "TCGA-78-7161-01A-11D-2036-08" 108 148
"289" "TCGA-78-7162-01A-21D-2063-08" 77 82
"290" "TCGA-78-7163-01A-12D-2063-08" 68 56
"291" "TCGA-78-7166-01A-12D-2063-08" 170 186
"292" "TCGA-78-7167-01A-11D-2063-08" 134 84
"293" "TCGA-78-7220-01A-11D-2036-08" 501 620
"294" "TCGA-78-7535-01A-11D-2063-08" 129 149
"295" "TCGA-78-7536-01A-11D-2063-08" 330 531
"296" "TCGA-78-7537-01A-11D-2063-08" 84 103
"297" "TCGA-78-7539-01A-11D-2063-08" 332 401
"298" "TCGA-78-7540-01A-11D-2063-08" 203 217
"299" "TCGA-78-7542-01A-21D-2063-08" 221 279
"300" "TCGA-78-7633-01A-11D-2063-08" 175 189
"301" "TCGA-78-8640-01A-11D-2393-08" 537 630
"302" "TCGA-78-8648-01A-11D-2393-08" 18 24
"303" "TCGA-78-8655-01A-11D-2393-08" 82 68
"304" "TCGA-78-8660-01A-11D-2393-08" 217 239
"305" "TCGA-78-8662-01A-11D-2393-08" 630 918
"306" "TCGA-80-5607-01A-31D-1945-08" 110 115
"307" "TCGA-80-5608-01A-31D-1945-08" 395 349
"308" "TCGA-80-5611-01A-01D-1625-08" 124 146
"309" "TCGA-83-5908-01A-21D-2284-08" 160 203
"310" "TCGA-86-6562-01A-11D-1753-08" 58 40
"311" "TCGA-86-6851-01A-11D-1945-08" 689 814
"312" "TCGA-86-7701-01A-11D-2167-08" 650 720
"313" "TCGA-86-7714-01A-12D-2167-08" 88 68
"314" "TCGA-86-7953-01A-11D-2184-08" 47 44
"315" "TCGA-86-7954-01A-11D-2184-08" 192 174
"316" "TCGA-86-7955-01A-11D-2184-08" 172 257
"317" "TCGA-86-8054-01A-11D-2238-08" 162 182
"318" "TCGA-86-8055-01A-11D-2238-08" 49 43
"319" "TCGA-86-8056-01A-11D-2238-08" 221 245
"320" "TCGA-86-8073-01A-11D-2238-08" 1267 1313
"321" "TCGA-86-8074-01A-11D-2238-08" 55 49
"322" "TCGA-86-8075-01A-11D-2238-08" 53 38
"323" "TCGA-86-8076-01A-31D-2238-08" 56 53
"324" "TCGA-86-8278-01A-11D-2284-08" 118 101
"325" "TCGA-86-8279-01A-11D-2284-08" 321 418
"326" "TCGA-86-8280-01A-11D-2284-08" 69 46
"327" "TCGA-86-8281-01A-11D-2284-08" 226 221
"328" "TCGA-86-8358-01A-11D-2323-08" 344 801
"329" "TCGA-86-8359-01A-11D-2323-08" 122 132
"330" "TCGA-86-8585-01A-11D-2393-08" 417 476
"331" "TCGA-86-8668-01A-11D-2393-08" 36 33
"332" "TCGA-86-8669-01A-11D-2393-08" 103 118
"333" "TCGA-86-8671-01A-11D-2393-08" 44 39
"334" "TCGA-86-8672-01A-21D-2393-08" 238 256
"335" "TCGA-86-8673-01A-11D-2393-08" 365 427
"336" "TCGA-86-8674-01A-21D-2393-08" 208 244
"337" "TCGA-86-A456-01A-11D-A24D-08" 258 307
"338" "TCGA-86-A4D0-01A-11D-A24D-08" 147 216
"339" "TCGA-86-A4JF-01A-11D-A24P-08" 1064 1145
"340" "TCGA-86-A4P7-01A-11D-A24P-08" 55 56
"341" "TCGA-86-A4P8-01A-11D-A24P-08" 6 2
"342" "TCGA-91-6829-01A-21D-1855-08" 425 518
"343" "TCGA-91-6830-01A-11D-1945-08" 224 237
"344" "TCGA-91-6831-01A-11D-1855-08" 173 222
"345" "TCGA-91-6835-01A-11D-1855-08" 82 84
"346" "TCGA-91-6836-01A-21D-1855-08" 363 438
"347" "TCGA-91-6840-01A-11D-1945-08" 95 99
"348" "TCGA-91-6847-01A-11D-1945-08" 78 89
"349" "TCGA-91-6848-01A-11D-1945-08" 359 480
"350" "TCGA-91-6849-01A-11D-1945-08" 119 108
"351" "TCGA-91-7771-01A-11D-2167-08" 163 170
"352" "TCGA-91-8496-01A-11D-2393-08" 39 48
"353" "TCGA-91-8497-01A-11D-2393-08" 47 39
"354" "TCGA-91-8499-01A-11D-2393-08" 197 258
"355" "TCGA-91-A4BC-01A-11D-A24D-08" 351 399
"356" "TCGA-91-A4BD-01A-11D-A24D-08" 23 20
"357" "TCGA-93-7347-01A-11D-2184-08" 106 112
