"","Sampleid","Purity","Ploidy","Num.Variants","Median.Coverage","AUC.AR","AUC.POSTERIOR.SOMATIC","Callrate","Accuracy.Somatic","Accuracy.Germline","TMB.AR"
"14","TCGA-05-4422-01",0.58,2.08921562573048,162,92,0.920866935483871,0.923135080645161,0.901234567901235,0.964285714285714,0.957142857142857,2.10756724317827
"15","TCGA-05-4425-01",0.58,1.91420625628447,135,76,0.915210355987055,0.958899676375405,0.896296296296296,0.983333333333333,0.958333333333333,1.70101076705795
"16","TCGA-05-4426-01",0.63,1.99961295859622,285,85,0.847023221343874,0.918725296442688,0.845614035087719,0.987551867219917,0.91701244813278,2.84152130959125
"17","TCGA-05-4430-01",0.19,2.54411066804412,360,93.5,0.94712386379053,0.961945461945462,0.963888888888889,0.985590778097983,0.976945244956772,10.0300730032127
"18","TCGA-05-4432-01",0.37,3.35182872819733,626,100.5,0.938900706202672,0.954428656513231,0.888178913738019,0.956834532374101,0.983812949640288,19.8762672021222
"19","TCGA-05-4434-01",0.31,1.97089365400109,173,97,0.959144363341444,0.968268450932685,0.982658959537572,0.982352941176471,0.958823529411765,2.17089405239782
"20","TCGA-35-4122-01",0.28,2.4257006059997,413,111,0.961732456140351,0.967160087719298,0.934624697336562,0.981865284974093,0.979274611398964,11.5877991063623
"21","TCGA-35-4123-01",0.32,2.05492502647153,432,107.5,0.951421033697086,0.969924451373066,0.953703703703704,0.97029702970297,0.977722772277228,11.272981559883
"22","TCGA-38-4628-01",0.46,4.9731695909433,203,104,0.870998023715415,0.893181818181818,0.788177339901478,0.9125,0.95625,4.63158142071614
"23","TCGA-38-4629-01",0.35,2.54583030800806,366,102.5,0.847639412715517,0.922885237068966,0.693989071038251,0.98406374501992,0.964143426294821,9.92777287844229
"24","TCGA-38-4630-01",0.71,1.94358262041215,233,103,0.658939345824071,0.861622737376945,0.721030042918455,0.945454545454545,0.927272727272727,4.30964941554524
"25","TCGA-49-4486-01",0.7,2.08496872380625,262,95.5,0.890096038415366,0.921788715486194,0.847328244274809,0.958904109589041,0.936073059360731,5.95507559247787
"26","TCGA-49-4494-01",0.34,2.19622181310428,289,91,0.910847701149425,0.951293103448276,0.896193771626298,0.992277992277992,0.953667953667954,6.56848365605597
"27","TCGA-49-4501-01",0.29,3.02808308973332,155,102,0.95848623853211,0.962385321100917,0.890322580645161,0.984848484848485,0.946969696969697,2.73376489120121
"28","TCGA-49-4505-01",0.37,3.0282670709343,309,140,0.905239130434783,0.931673913043478,0.886731391585761,0.956204379562044,0.963503649635037,7.88143926608037
"29","TCGA-49-4506-01",0.23,1.66772016834114,200,70,0.953725961538462,0.959234775641026,0.93,0.924731182795699,0.973118279569892,4.88072287076977
"30","TCGA-49-4507-01",0.31,2.82405228241045,304,86,0.947899592563106,0.965110288952372,0.855263157894737,0.968,0.984,7.52530241838762
"31","TCGA-49-4510-01",0.52,3.56494552547116,270,96.5,0.849104938271605,0.919012345679012,0.733333333333333,0.97979797979798,0.929292929292929,5.55957165971283
"32","TCGA-64-1677-01",0.29,2.58756769601974,312,128,0.942246970472777,0.942929680832907,0.948717948717949,0.97972972972973,0.962837837837838,8.39100693831386
"33","TCGA-67-3772-01",0.41,2.16539733733432,148,145,0.970028641571195,0.959901800327332,0.939189189189189,0.985401459854015,0.91970802919708,3.07275384185582
"34","TCGA-73-4658-01",0.18,2.44900735273352,512,82,0.959165697475542,0.957036327563796,0.970703125,0.987603305785124,0.966942148760331,13.8975621385202
"35","TCGA-73-4659-01",0.33,3.53708456058219,360,94,0.950761689057119,0.974806862958022,0.863888888888889,0.980707395498392,0.980707395498392,7.89585331695731
"36","TCGA-73-4662-01",0.46,2.99714356744538,293,87,0.822881163371961,0.902522154055896,0.771331058020478,0.936893203883495,0.946601941747573,7.19038251746719
"37","TCGA-73-4666-01",0.45,3.12413427990029,457,90,0.777433528616494,0.902343397926994,0.715536105032823,0.963302752293578,0.957186544342508,12.0554272826672
"38","TCGA-73-4668-01",0.52,3.04421984996549,691,110,0.768984647142304,0.781404549950544,0.6410998552822,0.96127562642369,0.835990888382688,15.5767683267247
"39","TCGA-73-4670-01",0.54,2.96609533105881,359,102,0.667127855825174,0.897545054633177,0.757660167130919,0.908088235294118,0.970588235294118,7.83704013625508
"40","TCGA-73-4675-01",0.51,3.47986211601307,168,82,0.823898305084746,0.875084745762712,0.75,0.968253968253968,0.944444444444444,2.66695805088343
"41","TCGA-73-4677-01",0.23,2.99478779276967,346,114,0.891437362948292,0.856741175638396,0.884393063583815,0.780327868852459,0.977049180327869,8.33320243568445
"42","TCGA-05-4396-01",0.54,3.7123266845327,2803,116,0.649139424117774,0.654473513291781,0.960399571887264,0.99368499257058,0.849925705794948,108.737865310613
"43","TCGA-05-4405-01",0.33,3.20811794393711,465,93,0.904229460379193,0.938937645523629,0.825806451612903,0.97554347826087,0.96195652173913,13.854461405254
"44","TCGA-05-4410-01",0.25,2.30450181796937,1089,89,0.919452134520401,0.91560229024444,0.88613406795225,0.877720207253886,0.985492227979275,36.724736024968
"45","TCGA-05-4415-01",0.6,3.54037200816957,300,85,0.66082121471343,0.791749833666001,0.663333333333333,0.819587628865979,0.958762886597938,4.98668480728324
"46","TCGA-05-4417-01",0.25,2.1218383955632,344,82,0.883540697917976,0.883268400988647,0.904069767441861,0.877966101694915,0.955932203389831,9.77021863412114
"47","TCGA-05-4424-01",0.26,2.88239953214973,761,88,0.966386963226407,0.964053013989803,0.919842312746386,0.971098265895954,0.989884393063584,25.0836279046822
"48","TCGA-05-4427-01",0.42,4.8159288783866,1019,79,0.819285283474065,0.877734217933253,0.80765456329735,0.883963494132986,0.980443285528031,30.5830093449798
"49","TCGA-05-4433-01",0.53,1.91511243671529,171,82,0.943930041152263,0.947736625514403,0.894736842105263,0.980392156862745,0.967320261437909,2.04952295862576
"50","TCGA-05-5420-01",0.21,1.91128549643959,182,74,0.955954218106996,0.955954218106996,0.994505494505495,1,0.966480446927374,3.74215555565535
"51","TCGA-05-5423-01",0.55,2.37046935591369,219,60,0.653412883845127,0.878755006675567,0.557077625570776,0.950819672131147,0.983606557377049,4.76698427550649
"52","TCGA-05-5425-01",0.3,2.82792828610975,601,70,0.913438735177866,0.916506681724073,0.830282861896839,0.901408450704225,0.973843058350101,20.5991219385954
"53","TCGA-05-5428-01",0.62,3.19561389116657,395,69,0.728376172990616,0.831584775893221,0.645569620253165,0.913725490196078,0.96078431372549,10.4640886346129
"54","TCGA-05-5429-01",0.55,2.08021809657218,133,66,0.90041928721174,0.950034940600978,0.744360902255639,0.98989898989899,0.939393939393939,2.0571502603827
