"","Sampleid","Purity","Ploidy","Num.Variants","Median.Coverage","AUC.AR","AUC.POSTERIOR.SOMATIC","Callrate","Accuracy.Somatic","Accuracy.Germline","TMB.AR"
"67","TCGA-24-2280-01",0.53,3.53590901006107,295,150,0.876246012759171,0.839613237639553,0.783050847457627,0.938325991189427,0.903083700440529,8.51722555636114
"68","TCGA-24-2281-01",0.5,3.62762901280855,152,131,0.838235294117647,0.814351272423863,0.677631578947368,0.900990099009901,0.95049504950495,2.47684532938328
"69","TCGA-24-2288-01",0.61,3.02042039790774,271,174,0.86410472972973,0.852364864864865,0.797047970479705,0.935185185185185,0.902777777777778,7.23197729016862
"70","TCGA-24-2289-01",0.59,2.50925131006267,250,140,0.75072,0.887616,0.804,0.935323383084577,0.945273631840796,6.25819260972382
"71","TCGA-24-2290-01",0.75,3.61889487790325,137,139,0.694662480376766,0.825484039769754,0.569343065693431,0.935064935064935,0.948051948051948,2.45978225765509
"72","TCGA-24-2293-01",0.55,2.5740738257325,197,133,0.905347655347655,0.88045738045738,0.736040609137056,0.971428571428571,0.821428571428571,4.76544480661825
"73","TCGA-24-2295-01",0.95,4.53383927836143,183,150,0.868782161234991,0.833619210977702,0.349726775956284,0.96875,0.90625,4.5132160029138
"74","TCGA-24-2298-01",0.72,2.58661622905576,218,159,0.780706497251509,0.734072271785167,0.775229357798165,0.923076923076923,0.78698224852071,4.83104576115797
"75","TCGA-25-1319-01",0.86,3.42428241976555,158,81.5,0.716003787878788,0.673863636363636,0.518987341772152,0.926829268292683,0.780487804878049,3.28230244520591
"76","TCGA-25-2042-01",0.51,2.8569556459839,190,135.5,0.948720930232558,0.87546511627907,0.668421052631579,0.959677419354839,0.911290322580645,4.58732808252862
"77","TCGA-25-2391-01",0.85,1.81781852779725,146,151.5,0.653875968992248,0.7,0.732876712328767,0.775700934579439,0.953271028037383,2.57097975182047
"78","TCGA-25-2392-01",0.64,4.64358039663623,207,154,0.879719626168224,0.882710280373832,0.797101449275362,0.957575757575758,0.872727272727273,4.86190379958181
"79","TCGA-25-2393-01",0.81,2.97899901363068,162,225,0.730324074074074,0.805555555555556,0.728395061728395,0.931034482758621,0.870689655172414,3.26757305430042
"86","TCGA-25-2399-01",0.76,1.90771351056389,147,110,0.733953488372093,0.843720930232558,0.768707482993197,0.918918918918919,0.945945945945946,1.72061329540301
"87","TCGA-25-2400-01",0.72,4.05279519472174,143,152,0.850059737156511,0.887096774193548,0.748251748251748,0.94392523364486,0.91588785046729,3.38326824986638
"88","TCGA-25-2401-01",0.59,1.92308483265253,179,119,0.882689832689833,0.94980694980695,0.865921787709497,0.967741935483871,0.961290322580645,3.586368214417
"89","TCGA-25-2404-01",0.59,3.07020480945672,164,135.5,0.848548914088026,0.908706515471843,0.774390243902439,0.976377952755906,0.952755905511811,2.90428865709264
"90","TCGA-25-2408-01",0.78,1.99496256166525,113,122,0.860071301247772,0.913547237076649,0.787610619469027,0.98876404494382,0.831460674157303,1.5241862564985
"91","TCGA-25-2409-01",0.7,3.81376811972018,114,126.5,0.622872340425532,0.854787234042553,0.614035087719298,0.971428571428571,0.914285714285714,1.78906039661163
"92","TCGA-29-2427-01",0.71,1.80465586496932,142,132,0.763967803030303,0.956912878787879,0.788732394366197,0.990909090909091,0.927272727272727,2.39474793791558
"93","TCGA-30-1853-01",0.92,2.52491197773732,131,146,0.759858812074002,0.629746835443038,0.419847328244275,0.818181818181818,0.872727272727273,2.47207112103668
"94","TCGA-30-1862-01",0.68,2.46686418213225,163,132,0.76530612244898,0.880648688046647,0.822085889570552,0.954887218045113,0.887218045112782,3.1258764664561
"95","TCGA-30-1891-01",0.72,1.83326742954018,237,113,0.727309727309727,0.923178673178673,0.755274261603376,0.97752808988764,0.960674157303371,3.86095199654252
"96","TCGA-31-1950-01",0.34,3.00481077381942,204,133,0.964496124031008,0.971472868217054,0.862745098039216,0.994318181818182,0.960227272727273,4.38898815847178
"97","TCGA-31-1953-01",0.58,3.64587574533231,420,132.5,0.897369646182495,0.937290502793296,0.785714285714286,0.984756097560976,0.911585365853659,5.8676493023365
"98","TCGA-31-1959-01",0.4,3.18657948063945,178,135.5,0.82901209945486,0.941231219252759,0.814606741573034,0.993103448275862,0.910344827586207,3.91565091263567
"99","TCGA-57-1992-01",0.67,3.23849326612524,211,178,0.823170731707317,0.796937039137833,0.786729857819905,0.969879518072289,0.740963855421687,4.69788952238414
"100","TCGA-57-1993-01",0.71,4.27540644650021,217,145,0.87641062977794,0.850928285402257,0.705069124423963,0.960526315789474,0.815789473684211,4.92730818046107
"101","TCGA-57-1994-01",0.6,3.49715188341775,165,84,0.859598214285714,0.8625,0.745454545454545,0.956140350877193,0.87719298245614,4.01358213645333
"105","TCGA-59-2350-01",0.83,1.68266777184634,118,124,0.691489361702128,0.795339412360689,0.694915254237288,0.936708860759494,0.936708860759494,1.18106358240048
"106","TCGA-59-2351-01",0.51,2.97710470877177,201,126,0.883089133089133,0.925213675213675,0.761194029850746,0.980392156862745,0.947712418300654,4.66877072600719
"107","TCGA-59-2352-01",0.64,3.5663347216553,289,147,0.847349061390157,0.905948756976154,0.737024221453287,0.985915492957746,0.882629107981221,5.60434104580228
"108","TCGA-59-2354-01",0.64,1.84750360913619,172,151.5,0.815536848323734,0.956284153005465,0.941860465116279,0.981481481481482,0.932098765432099,3.05778094057342
"109","TCGA-59-2355-01",0.73,1.88436453479082,124,124.5,0.786464646464647,0.877575757575758,0.758064516129032,0.978723404255319,0.882978723404255,1.73952880750635
"110","TCGA-59-2363-01",0.9,1.69254125754375,329,150,0.598609619286311,0.761129013008712,0.70516717325228,0.922413793103448,0.913793103448276,3.89949811449216
"111","TCGA-61-1728-01",0.39,3.21255967028143,198,129,0.926640271493213,0.903789592760181,0.924242424242424,0.972677595628415,0.896174863387978,4.03132376239302
"112","TCGA-61-1736-01",0.78,1.79576427416746,146,98,0.845394736842105,0.775767543859649,0.76027397260274,0.963963963963964,0.81981981981982,2.4228758243835
"113","TCGA-61-1919-01",0.5,2.87013085773987,246,144,0.931345029239766,0.960779727095517,0.784552845528455,0.989637305699482,0.937823834196891,5.21181036012416
"114","TCGA-61-1995-01",0.8,1.64283880954785,140,65,0.871803350970018,0.798941798941799,0.735714285714286,0.910891089108911,0.891089108910891,3.20066603116681
"115","TCGA-61-1998-01",0.39,2.73732702418243,273,92,0.830507936507937,0.795301587301587,0.893772893772894,0.885593220338983,0.889830508474576,8.92312499136833
"116","TCGA-61-2000-01",0.6,3.03289762080493,138,137.5,0.727030947775629,0.774419729206963,0.739130434782609,0.93,0.76,2.46504215096737
"117","TCGA-61-2002-01",0.66,1.88884137533482,153,110,0.752579365079365,0.933928571428571,0.784313725490196,0.983333333333333,0.883333333333333,3.14728569498158
"118","TCGA-61-2003-01",0.44,3.58720224923061,167,107,0.941398108064775,0.876382876382876,0.802395209580838,0.961538461538462,0.792307692307692,4.02330941256932
"119","TCGA-61-2008-01",0.69,3.08377094981141,281,99,0.787519936204147,0.884928229665072,0.661921708185053,0.983516483516483,0.851648351648352,5.48121661083894
"120","TCGA-61-2009-01",0.52,3.38908567240979,151,80,0.908369408369408,0.875721500721501,0.695364238410596,0.952380952380952,0.904761904761905,4.22069785205873
"121","TCGA-61-2012-01",0.61,2.84958308551437,261,103,0.842227857058615,0.859417384125487,0.758620689655172,0.95959595959596,0.883838383838384,7.30755891113718
