"SampleId" "mut_tumor_only" "mut_matching"
"981" "TCGA-24-1549-01A-01W" 39 27
"991" "TCGA-24-1562-01A-01W" 36 22
"1001" "TCGA-24-1563-01A-01W" 102 69
"1011" "TCGA-24-1616-01A-01W" 63 49
"1021" "TCGA-24-1842-01A-01W" 60 43
"1031" "TCGA-24-1843-01A-01W" 83 72
"1041" "TCGA-24-1844-01A-01W" 117 131
"1051" "TCGA-24-1845-01A-01W" 129 135
"1061" "TCGA-24-1846-01A-01W" 55 66
"1071" "TCGA-24-1847-01A-01W" 95 91
"1081" "TCGA-24-1850-01A-01W" 71 70
"1091" "TCGA-25-1315-01A-01W" 62 55
"1101" "TCGA-25-1316-01A-01W" 47 13
"1111" "TCGA-25-1322-01A-01W" 71 55
"1121" "TCGA-25-1323-01A-01W" 86 75
"1131" "TCGA-29-1690-01A-01W" 77 59
"1141" "TCGA-29-1691-01A-01W" 154 168
"1151" "TCGA-29-1693-01A-01W" 79 88
"1161" "TCGA-29-1694-01A-01W" 25 15
"1171" "TCGA-29-1695-01A-01W" 57 56
"1181" "TCGA-29-1696-01A-01W" 50 49
"1191" "TCGA-29-1697-01A-01W" 17 33
"1201" "TCGA-29-1698-01A-01W" 100 74
"1211" "TCGA-29-1699-01A-01W" 77 84
"1221" "TCGA-29-1701-01A-01W" 69 61
"1231" "TCGA-29-1702-01A-01W" 42 41
"1241" "TCGA-29-1703-01A-01W" 60 59
"1251" "TCGA-29-1705-01A-01W" 47 36
"1261" "TCGA-29-1707-01A-01W" 45 42
"1271" "TCGA-29-1711-01A-01W" 63 47
"1281" "TCGA-29-1761-01A-01W" 164 169
"1291" "TCGA-29-1762-01A-01W" 52 54
"1301" "TCGA-29-1763-01A-02W" 142 117
"1311" "TCGA-29-1764-01A-01W" 79 70
"1321" "TCGA-29-1766-01A-01W" 73 70
"1331" "TCGA-29-1768-01A-01W" 43 37
"1341" "TCGA-29-1769-01A-01W" 62 66
"1351" "TCGA-29-1770-01A-01W" 124 112
"1361" "TCGA-29-1774-01A-01W" 62 54
"137" "TCGA-29-1775-01A-01W" 97 99
"138" "TCGA-29-1776-01A-01W" 48 33
"139" "TCGA-29-1777-01A-01W" 101 97
"140" "TCGA-29-1778-01A-01W" 59 50
"141" "TCGA-29-1781-01A-01W" 76 75
"142" "TCGA-29-1783-01A-01W" 77 69
"143" "TCGA-29-1784-01A-02W" 115 114
"144" "TCGA-29-1785-01A-01W" 45 53
"145" "TCGA-30-1714-01A-02W" 66 58
"146" "TCGA-30-1718-01A-01W" 133 140
"147" "TCGA-30-1855-01A-01W" 73 78
"148" "TCGA-30-1856-01A-01W" 71 59
"149" "TCGA-30-1857-01A-02W" 74 70
"150" "TCGA-57-1586-01A-02W" 38 5
"151" "TCGA-61-1722-01A-01D" 102 91
"152" "TCGA-61-1725-01A-01W" 78 74
"153" "TCGA-61-1727-01A-01W" 132 121
"154" "TCGA-61-1730-01A-01W" 75 70
"155" "TCGA-61-1733-01A-01W" 63 49
"156" "TCGA-61-1737-01A-01W" 122 85
"157" "TCGA-61-1738-01A-01W" 69 51
"158" "TCGA-61-1740-01A-01W" 150 156
"159" "TCGA-61-1741-01A-02W" 55 20
"160" "TCGA-61-1895-01A-01W" 67 55
"161" "TCGA-61-1899-01A-01W" 54 51
"162" "TCGA-61-1900-01A-01W" 67 54
"163" "TCGA-61-1901-01A-01W" 43 34
"164" "TCGA-61-1903-01A-01W" 53 44
"165" "TCGA-61-1904-01A-01W" 105 86
"166" "TCGA-61-1906-01A-01W" 71 54
"167" "TCGA-61-1907-01A-01W" 89 88
"168" "TCGA-61-1910-01A-01W" 44 69
"169" "TCGA-61-1911-01A-01W" 70 41
"170" "TCGA-61-1913-01A-01W" 33 28
"171" "TCGA-61-1914-01A-01W" 94 99
"1" "TCGA-04-1332-01A-01W" 60 47
"2" "TCGA-04-1336-01A-01W" 43 46.5
"3" "TCGA-04-1343-01A-01W" 90.5 79
"4" "TCGA-04-1346-01A-01W" 49 42
"5" "TCGA-04-1347-01A-01W" 148 130
"6" "TCGA-04-1348-01A-01W" 71 28
"7" "TCGA-04-1349-01A-01W" 50 36.5
"8" "TCGA-04-1361-01A-01W" 79 68
"9" "TCGA-04-1362-01A-01W" 55.5 54.5
"1012" "TCGA-13-0755-01A-01W" 75.5 80.5
"1112" "TCGA-13-0760-01A-01W" 131 155.5
"1212" "TCGA-13-0791-01A-01W" 84 72
"1312" "TCGA-13-0795-01A-01W" 69 67.5
"1411" "TCGA-13-0800-01A-01W" 85.5 72.5
"1511" "TCGA-13-0894-01B-01W" 81.5 84
"1611" "TCGA-13-1403-01A-01W" 39.5 41
"172" "TCGA-13-1411-01A-01W" 50 39
"182" "TCGA-13-1412-01A-01W" 55 36
"192" "TCGA-20-0996-01A-03W" 11 12.5
"202" "TCGA-23-1021-01B-01W" 63.5 74.5
"212" "TCGA-23-1022-01A-02W" 122.5 168
"22" "TCGA-23-1117-01A-02W" 112 93.5
"232" "TCGA-23-1118-01A-01W" 80 72.5
"24" "TCGA-23-1123-01A-01W" 70.5 64.5
"25" "TCGA-23-1124-01A-01W" 120 133
"11" "TCGA-09-2044-01B-01W" 251.5 322.5
"26" "TCGA-25-2396-01A-01W" 42.5 31.5
"31" "TCGA-25-2397-01A-01W" 93.5 144
"41" "TCGA-25-2398-01A-01W" 283.5 304
"510" "TCGA-59-2348-01A-01W" 90.5 89
