"","SampleId","HLAA_major","HLAA_minor","HLAA_LOH","HLAB_major","HLAB_minor","HLAB_LOH","HLAC_major","HLAC_minor","HLAC_LOH","HLAA_C_t","HLAA_M_t","HLAA_LOH_t","HLAB_C_t","HLAB_M_t","HLAB_LOH_t","HLAC_C_t","HLAC_M_t","HLAC_LOH_t"
"235","TCGA-69-7978-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE,6,0,TRUE,2,1,FALSE
"236","TCGA-69-7979-01",4,2,FALSE,4,2,FALSE,4,2,FALSE,6,2,FALSE,6,2,FALSE,6,2,FALSE
"237","TCGA-69-7980-01",4,0,TRUE,4,0,TRUE,4,0,TRUE,6,1,FALSE,5,0,TRUE,5,0,TRUE
"240","TCGA-69-8255-01",4,0,TRUE,4,0,TRUE,4,0,TRUE,4,0,TRUE,4,0,TRUE,4,0,TRUE
"241","TCGA-71-6725-01",4,0,TRUE,4,0,TRUE,4,0,TRUE,4,0,TRUE,4,0,TRUE,4,0,TRUE
"243","TCGA-73-4659-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"244","TCGA-73-4662-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"246","TCGA-73-4668-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE
"247","TCGA-73-4670-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE
"248","TCGA-73-4675-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"249","TCGA-73-4676-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"250","TCGA-73-4677-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,7,2,FALSE,7,2,FALSE,7,2,FALSE
"251","TCGA-73-7498-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,6,2,FALSE,6,2,FALSE,6,2,FALSE
"252","TCGA-73-7499-01",4,0,TRUE,4,0,TRUE,4,0,TRUE,4,0,TRUE,4,0,TRUE,4,0,TRUE
"253","TCGA-73-A9RS-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"255","TCGA-75-5125-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,3,0,TRUE,3,0,TRUE,3,0,TRUE
"256","TCGA-75-5126-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE
"258","TCGA-75-5147-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"260","TCGA-75-6205-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE
"263","TCGA-75-6212-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"264","TCGA-75-6214-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"265","TCGA-75-7025-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,1,0,TRUE,1,0,TRUE,1,0,TRUE
"266","TCGA-75-7027-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"267","TCGA-75-7031-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"268","TCGA-78-7145-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"269","TCGA-78-7146-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE
"270","TCGA-78-7147-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"272","TCGA-78-7149-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE
"273","TCGA-78-7150-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"275","TCGA-78-7153-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,1,0,TRUE,1,0,TRUE,1,0,TRUE
"276","TCGA-78-7154-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,3,1,FALSE,2,0,TRUE,2,0,TRUE
"277","TCGA-78-7155-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,4,1,FALSE,4,1,FALSE,4,1,FALSE
"279","TCGA-78-7158-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"280","TCGA-78-7159-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,3,1,FALSE,2,1,FALSE,3,1,FALSE
"281","TCGA-78-7160-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE
"282","TCGA-78-7161-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"283","TCGA-78-7162-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,4,1,FALSE,4,1,FALSE,4,1,FALSE
"286","TCGA-78-7167-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"287","TCGA-78-7220-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"288","TCGA-78-7535-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,3,0,TRUE,2,0,TRUE,2,0,TRUE
"289","TCGA-78-7536-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE
