"","SampleId","TP53_LOH","TP53_LOH_t","TP53_LOH_p"
"193","TCGA-61-1904-01",TRUE,TRUE,TRUE
"194","TCGA-61-1906-01",TRUE,TRUE,TRUE
"195","TCGA-61-1907-01",TRUE,TRUE,TRUE
"196","TCGA-61-1910-01",TRUE,TRUE,TRUE
"197","TCGA-61-1911-01",TRUE,TRUE,TRUE
"198","TCGA-61-1913-01",TRUE,TRUE,TRUE
"199","TCGA-61-1914-01",TRUE,TRUE,TRUE
"200","TCGA-61-1919-01",TRUE,TRUE,TRUE
"201","TCGA-61-1995-01",TRUE,TRUE,TRUE
"202","TCGA-61-1998-01",TRUE,TRUE,TRUE
"203","TCGA-61-2000-01",TRUE,TRUE,TRUE
"204","TCGA-61-2002-01",TRUE,TRUE,TRUE
"205","TCGA-61-2003-01",TRUE,TRUE,TRUE
"206","TCGA-61-2008-01",TRUE,TRUE,TRUE
"207","TCGA-61-2009-01",TRUE,TRUE,TRUE
"208","TCGA-61-2012-01",TRUE,TRUE,TRUE
"209","TCGA-61-2016-01",TRUE,TRUE,TRUE
"210","TCGA-61-2018-01",TRUE,TRUE,TRUE
"211","TCGA-61-2087-01",TRUE,TRUE,TRUE
"212","TCGA-61-2088-01",TRUE,TRUE,TRUE
"213","TCGA-61-2092-01",TRUE,FALSE,TRUE
"214","TCGA-61-2094-01",TRUE,TRUE,TRUE
"216","TCGA-61-2096-01",TRUE,TRUE,TRUE
"217","TCGA-61-2097-01",TRUE,TRUE,TRUE
"218","TCGA-61-2101-01",TRUE,TRUE,TRUE
"219","TCGA-61-2102-01",TRUE,TRUE,TRUE
"220","TCGA-61-2104-01",TRUE,TRUE,TRUE
"221","TCGA-61-2109-01",TRUE,TRUE,TRUE
"222","TCGA-61-2110-01",TRUE,TRUE,TRUE
"223","TCGA-61-2113-01",TRUE,TRUE,TRUE
"224","TCGA-09-0366-01",TRUE,TRUE,TRUE
"226","TCGA-09-2045-01",TRUE,TRUE,TRUE
"227","TCGA-09-2056-01",TRUE,TRUE,TRUE
"228","TCGA-13-0723-01",TRUE,TRUE,TRUE
"229","TCGA-13-0724-01",TRUE,TRUE,TRUE
"230","TCGA-13-0924-01",TRUE,TRUE,TRUE
"231","TCGA-24-0966-01",TRUE,TRUE,TRUE
"232","TCGA-24-2036-01",TRUE,TRUE,TRUE
"235","TCGA-25-2409-01",TRUE,TRUE,TRUE
"236","TCGA-61-1734-01",TRUE,TRUE,TRUE
