"","SampleId","TP53_major","TP53_minor","TP53_LOH","TP53_C_t","TP53_M_t","TP53_LOH_t","kit"
"117","TCGA-29-1711-01",1,0,TRUE,1,0,TRUE,"S0293689"
"118","TCGA-30-1714-01",2,0,TRUE,2,0,TRUE,"S0293689"
"119","TCGA-09-0366-01",2,0,TRUE,2,0,TRUE,"S0293689"
"120","TCGA-04-1655-01",3,0,TRUE,3,0,TRUE,"S0293689"
"121","TCGA-61-1910-01",2,0,TRUE,2,0,TRUE,"S0293689"
"122","TCGA-13-0723-01",2,0,TRUE,2,0,TRUE,"S0293689"
"123","TCGA-09-1674-01",3,0,TRUE,3,0,TRUE,"S0293689"
"124","TCGA-29-1763-01",3,0,TRUE,3,0,TRUE,"S0293689"
"125","TCGA-29-1778-01",4,0,TRUE,4,0,TRUE,"S0293689"
"126","TCGA-24-0966-01",1,0,TRUE,1,0,TRUE,"S0293689"
"127","TCGA-29-1769-01",1,0,TRUE,3,0,TRUE,"S0293689"
"128","TCGA-61-1907-01",2,0,TRUE,2,0,TRUE,"S0293689"
"129","TCGA-29-1703-01",2,0,TRUE,2,0,TRUE,"S0293689"
"131","TCGA-30-1856-01",4,0,TRUE,2,0,TRUE,"S0293689"
"132","TCGA-24-1563-01",1,0,TRUE,1,0,TRUE,"S0293689"
"133","TCGA-23-1111-01",3,0,TRUE,3,0,TRUE,"S0293689"
"134","TCGA-13-0910-01",1,0,TRUE,1,0,TRUE,"S0293689"
"135","TCGA-13-1405-01",1,0,TRUE,1,0,TRUE,"S0293689"
"136","TCGA-24-1424-01",3,0,TRUE,3,0,TRUE,"S0293689"
"137","TCGA-61-1900-01",2,0,TRUE,2,0,TRUE,"S0293689"
"138","TCGA-13-1482-01",1,0,TRUE,1,0,TRUE,"S0293689"
"139","TCGA-29-1762-01",1,0,TRUE,1,0,TRUE,"S0293689"
"140","TCGA-29-1697-01",2,0,TRUE,2,0,TRUE,"S0293689"
"141","TCGA-24-1549-01",2,0,TRUE,2,0,TRUE,"S0293689"
"142","TCGA-29-1777-01",1,0,TRUE,1,0,TRUE,"S0293689"
"143","TCGA-13-0897-01",1,0,TRUE,1,0,TRUE,"S0293689"
"144","TCGA-09-1675-01",1,0,TRUE,1,0,TRUE,"S0293689"
"145","TCGA-20-1685-01",2,0,TRUE,2,0,TRUE,"S0293689"
"146","TCGA-25-1315-01",2,0,TRUE,2,0,TRUE,"S0293689"
"147","TCGA-30-1718-01",3,0,TRUE,2,0,TRUE,"S0293689"
"148","TCGA-29-1695-01",2,0,TRUE,2,0,TRUE,"S0293689"
"149","TCGA-24-1417-01",2,0,TRUE,2,0,TRUE,"S0293689"
"150","TCGA-24-1470-01",2,0,TRUE,2,0,TRUE,"S0293689"
"151","TCGA-20-1687-01",2,0,TRUE,2,0,TRUE,"S0293689"
"152","TCGA-23-1029-01",1,0,TRUE,1,0,TRUE,"S0293689"
"153","TCGA-61-1722-01",3,0,TRUE,2,0,TRUE,"S0293689"
"154","TCGA-13-0893-01",2,0,TRUE,3,0,TRUE,"S0293689"
"155","TCGA-24-1464-01",1,0,TRUE,2,0,TRUE,"S0293689"
"156","TCGA-61-1738-01",1,0,TRUE,2,0,TRUE,"S0293689"
"157","TCGA-24-1436-01",2,0,TRUE,2,0,TRUE,"S0293689"
"158","TCGA-61-1914-01",1,0,TRUE,2,0,TRUE,"S0293689"
"159","TCGA-24-1844-01",3,0,TRUE,4,0,TRUE,"S0293689"
"160","TCGA-24-1103-01",1,0,TRUE,1,0,TRUE,"S0293689"
"161","TCGA-13-1498-01",1,0,TRUE,1,0,TRUE,"S0293689"
"162","TCGA-24-1418-01",2,0,TRUE,2,0,TRUE,"S0293689"
"163","TCGA-61-1727-01",2,0,TRUE,2,0,TRUE,"S0293689"
"164","TCGA-13-1509-01",1,0,TRUE,1,0,TRUE,"S0293689"
"165","TCGA-30-1855-01",2,0,TRUE,2,0,TRUE,"S0293689"
"166","TCGA-29-1785-01",1,0,TRUE,1,0,TRUE,"S0293689"
"168","TCGA-04-1542-01",2,0,TRUE,2,0,TRUE,"S0293689"
"169","TCGA-24-1425-01",1,0,TRUE,1,0,TRUE,"S0293689"
"170","TCGA-20-1684-01",3,0,TRUE,3,0,TRUE,"S0293689"
"171","TCGA-09-1673-01",4,0,TRUE,4,0,TRUE,"S0293689"
"172","TCGA-61-1899-01",6,0,TRUE,3,0,TRUE,"S0293689"
"173","TCGA-24-1427-01",2,0,TRUE,3,0,TRUE,"S0293689"
"174","TCGA-13-1497-01",2,0,TRUE,2,0,TRUE,"S0293689"
"175","TCGA-13-1491-01",1,0,TRUE,1,0,TRUE,"S0293689"
"176","TCGA-61-1737-01",1,0,TRUE,1,0,TRUE,"S0293689"
