"sampleID" "TP53_LOH_t" "TP53_LOH_p"
"111" "C239.TCGA-61-1736-01B-01W-0722-08.2_gdc_realn" TRUE TRUE
"112" "C239.TCGA-61-1919-01A-01W-0699-08.5_gdc_realn" TRUE TRUE
"113" "C239.TCGA-61-1995-01A-01W-0722-08.2_gdc_realn" TRUE TRUE
"114" "C239.TCGA-61-1998-01A-01W-0722-08.2_gdc_realn" TRUE TRUE
"115" "C239.TCGA-61-2000-01A-01W-0722-08.3_gdc_realn" TRUE TRUE
"116" "C239.TCGA-61-2002-01A-01W-0722-08.2_gdc_realn" TRUE TRUE
"117" "C239.TCGA-61-2003-01A-01W-0722-08.3_gdc_realn" TRUE TRUE
"118" "C239.TCGA-61-2008-01A-02W-0722-08.2_gdc_realn" TRUE TRUE
"119" "C239.TCGA-61-2009-01A-01W-0722-08.5_gdc_realn" TRUE TRUE
"120" "C239.TCGA-61-2012-01A-01W-0722-08.3_gdc_realn" TRUE TRUE
"121" "C239.TCGA-61-2016-01A-01W-0722-08.2_gdc_realn" TRUE TRUE
"122" "C239.TCGA-61-2018-01A-01W-0722-08.3_gdc_realn" TRUE TRUE
"123" "C239.TCGA-61-2087-01A-01W-0722-08.2_gdc_realn" TRUE TRUE
"124" "C239.TCGA-61-2088-01A-01W-0722-08.4_gdc_realn" TRUE TRUE
"125" "C239.TCGA-61-2092-01A-01W-0722-08.2_gdc_realn" FALSE TRUE
"126" "C239.TCGA-61-2094-01A-01W-0722-08.2_gdc_realn" TRUE TRUE
"127" "C239.TCGA-61-2096-01A-01W-0722-08.3_gdc_realn" TRUE TRUE
"128" "C239.TCGA-61-2097-01A-02W-0722-08.5_gdc_realn" TRUE TRUE
"129" "C239.TCGA-61-2101-01A-01W-0722-08.4_gdc_realn" TRUE TRUE
"130" "C239.TCGA-61-2102-01A-01W-0722-08.4_gdc_realn" TRUE TRUE
"131" "C239.TCGA-61-2104-01A-01W-0722-08.3_gdc_realn" TRUE TRUE
"132" "C239.TCGA-61-2109-01A-01W-0722-08.4_gdc_realn" TRUE TRUE
"133" "C239.TCGA-61-2110-01A-01W-0722-08.4_gdc_realn" TRUE TRUE
"134" "C239.TCGA-61-2111-01A-01W-0722-08.4_gdc_realn" TRUE TRUE
"135" "C239.TCGA-61-2113-01A-01W-0722-08.7_gdc_realn" TRUE TRUE
"136" "TCGA-61-1734-01B-01W-0722-08_IlluminaGA-DNASeq_capture_gdc_realn" TRUE TRUE
