"","gene_name","qglobal_cv_tumorOnly","qglobal_cv_matchingN"
"112","ABRAXAS1",0.999998460995664,0.999999766486908
"113","ABRAXAS2",0.999998460995664,0.999999766486908
"114","ABT1",0.999998460995664,0.999999766486908
"115","ABTB1",0.999998460995664,0.999999766486908
"116","ABTB2",0.999998460995664,0.999999766486908
"117","AC000093.1",0.999998460995664,0.999999766486908
"118","AC000120.2",0.999998460995664,0.999999766486908
"119","AC000120.3",0.999998460995664,0.999999766486908
"120","AC001226.2",0.999998460995664,0.999999766486908
"121","AC002094.3",0.999998460995664,0.999999766486908
"122","AC002310.4",0.999998460995664,0.999999766486908
"123","AC003002.1",0.98137245345031,0.999999766486908
"124","AC003005.1",0.999998460995664,0.999999766486908
"125","AC003688.1",0.999998460995664,0.999999766486908
"126","AC004076.1",0.999998460995664,0.999999766486908
