"fullname" "Purity_ABS" "Ploidy_ABS" "Purity_PureCN" "Ploidy_PureCN"
"TCGA-55-6982-01A-11D" 0.25 2.61 0.23 1.77883465046295
"TCGA-55-6983-01A-11D" 0.27 2.05 0.29 2.28856445594519
"TCGA-55-6984-01A-11D" 0.81 4.06 0.41 2.05438760339525
"TCGA-55-6985-01A-11D" 0.39 1.86 0.28 1.89450273640115
"TCGA-55-6986-01A-11D" 0.4 1.96 0.2 1.55740720553936
"TCGA-55-6987-01A-11D" 0.16 2.31 0.17 2.28659658291575
"TCGA-55-7281-01A-11D" 0.42 3.07 0.42 3.09790182549074
"TCGA-55-7283-01A-11D" 0.47 3.9 0.33 1.93752737980199
"TCGA-55-7284-01B-11D" 0.4 2.26 0.37 2.27777764819129
"TCGA-55-7570-01A-11D" 0.57 1.81 0.53 1.80379706095197
"TCGA-55-7573-01A-11D" 0.33 3.2 0.26 2.09109214642576
"TCGA-55-7574-01A-11D" 0.19 2.25 0.16 2.08332132241768
"TCGA-55-7576-01A-11D" 0.47 2.84 0.41 2.80900672436825
"TCGA-55-7724-01A-11D" 0.28 1.74 0.2 1.822641229767
"TCGA-55-7725-01A-11D" 0.61 2 0.6 2.01562857081689
"TCGA-55-7726-01A-11D" 0.26 4.09 0.37 2.33475694280326
"TCGA-55-7727-01A-11D" 0.56 1.91 0.36 2.04606228905826
"TCGA-55-7728-01A-11D" 0.42 2.01 0.4 2.00457126448222
"TCGA-55-7815-01A-11D" 0.29 3.48 0.29 3.45668520430215
"TCGA-55-7903-01A-11D" 0.64 1.93 0.43 3.76115715473096
"TCGA-55-7907-01A-11D" 0.39 3.56 0.41 3.60386106798547
"TCGA-55-7910-01A-11D" 0.58 3.44 0.59 3.54472102035071
"TCGA-55-7911-01A-11D" 0.23 4.05 0.2 2.10059087726527
"TCGA-55-7913-01B-11D" 0.35 2.94 0.32 2.97994296215429
"TCGA-55-7914-01A-11D" 0.56 1.92 0.51 1.91605150038425
"TCGA-55-7994-01A-11D" 0.51 3.05 0.52 3.00649479189822
"TCGA-55-7995-01A-11D" 0.49 2.53 0.43 2.65398301075106
"TCGA-55-8085-01A-11D" 0.56 2.17 0.54 2.1827203426084
"TCGA-55-8087-01A-11D" 0.82 1.98 0.79 2.00174633155212
"TCGA-55-8089-01A-11D" 0.33 1.8 0.3 1.88837783385948
"TCGA-55-8090-01A-11D" 0.41 3.62 0.32 1.63972345383595
"TCGA-55-8091-01A-11D" 0.6 2.06 0.44 1.98714854606525
"TCGA-55-8092-01A-11D" 0.38 3.24 0.38 3.26498116194487
"TCGA-55-8094-01A-11D" 0.79 2.82 0.79 2.88591975076696
"TCGA-55-8096-01A-11D" 0.25 2.73 0.25 2.65607452723517
"TCGA-55-8097-01A-11D" 0.64 2.06 0.35 1.98683065054116
"TCGA-55-8203-01A-11D" 0.38 3.67 0.33 3.69999084018339
"TCGA-55-8204-01A-11D" 0.34 1.96 0.31 1.8909401629696
"TCGA-55-8205-01A-11D" 0.22 3.33 0.21 2.34894917241364
"TCGA-55-8206-01A-11D" 0.46 3.27 0.46 3.27212248213424
"TCGA-55-8207-01A-11D" 0.57 3.01 0.56 3.01932910140267
"TCGA-55-8208-01A-11D" 0.24 2.22 0.16 2.59108893590221
"TCGA-55-8301-01A-11D" 0.26 2.2 0.28 2.36773942599993
"TCGA-55-8302-01A-11D" 0.46 1.78 0.29 2.40126013111855
"TCGA-55-8505-01A-11D" 0.32 1.87 0.28 1.66554689590276
"TCGA-55-8506-01A-11D" 0.45 3.94 0.47 1.97105911614153
"TCGA-55-8507-01A-11D" 0.64 2.72 0.6 2.75054082435426
"TCGA-55-8508-01A-11D" 0.38 2.94 0.33 3.94063542946094
"TCGA-55-8510-01A-11D" 0.28 2.95 0.27 2.8035386279284
"TCGA-55-8511-01A-11D" 0.19 3.18 0.26 3.20475115171284
"TCGA-55-8512-01A-11D" 0.35 1.94 0.35 1.95144091824644
"TCGA-55-8513-01A-11D" 0.5 2 0.27 1.9970055945103
"TCGA-55-8514-01A-11D" 0.54 3.13 0.54 3.13377842425644
"TCGA-55-8614-01A-11D" 0.32 4.05 0.33 2.10385039818783
"TCGA-55-8615-01A-11D" 0.57 5.23 0.61 4.96088001474545
"TCGA-55-8616-01A-11D" 0.39 3.91 0.38 2.04119265500375
"TCGA-55-8619-01A-11D" 0.24 2.1 0.15 1.9976324484397
"TCGA-55-8620-01A-11D" 0.62 2.47 0.6 2.65131393607248
"TCGA-55-8621-01A-11D" 0.2 2.05 0.46 2.00183431290713
"TCGA-55-A48X-01A-11D" 0.28 1.78 0.26 1.8249626860828
"TCGA-55-A48Y-01A-11D" 0.36 1.95 0.32 2.02971865085912
"TCGA-55-A48Z-01A-12D" 0.41 3 0.27 3.38167333633925
"TCGA-55-A490-01A-11D" 0.58 3.34 0.54 3.35846042491066
