"","SampleId","Purity_ABS","Ploidy_ABS","Purity_tumor_only","Ploidy_tumor_only","Purity_matching_normal","Ploidy_matching_normal"
"299","TCGA-30-1853-01",1,2.58,0.92,2.52491197773732,0.93,2.52488278662518
"303","TCGA-30-1862-01",0.73,2.51,0.68,2.46686418213225,0.67,2.46666561129885
"304","TCGA-30-1891-01",0.78,1.86,0.72,1.83326742954018,0.72,1.83366705158939
"305","TCGA-31-1950-01",0.48,3.13,0.34,3.00481077381942,0.28,4.46267319205786
"306","TCGA-31-1953-01",0.64,3.77,0.58,3.64587574533231,0.58,3.64585341182319
"307","TCGA-31-1959-01",0.66,1.58,0.4,3.18657948063945,0.39,3.18696587406406
"332","TCGA-57-1992-01",0.87,1.65,0.67,3.23849326612524,0.67,3.2394450144215
"333","TCGA-57-1993-01",0.82,4.12,0.71,4.27540644650021,0.71,4.27661484259434
"334","TCGA-57-1994-01",0.75,3.29,0.6,3.49715188341775,0.59,3.49848887226081
"335","TCGA-59-2348-01",0.63,3.41,0.62,3.29137054462711,0.62,3.29328875643073
"336","TCGA-59-2348-01",0.63,3.41,0.62,3.29137054462711,0.68,3.3366517848553
"337","TCGA-59-2348-01",0.63,3.41,0.68,3.33659923293227,0.62,3.29328875643073
"338","TCGA-59-2348-01",0.63,3.41,0.68,3.33659923293227,0.68,3.3366517848553
"339","TCGA-59-2350-01",0.84,1.71,0.83,1.68266777184634,0.83,1.68270550163088
"340","TCGA-59-2351-01",0.5,3,0.51,2.97710470877177,0.5,2.97734601266867
"341","TCGA-59-2352-01",0.67,3.59,0.64,3.5663347216553,0.64,3.55715331951068
"342","TCGA-59-2354-01",0.64,1.84,0.64,1.84750360913619,0.64,1.84755088473091
"343","TCGA-59-2355-01",0.79,1.85,0.73,1.88436453479082,0.73,1.88450802075117
"344","TCGA-59-2363-01",0.92,1.73,0.9,1.69254125754375,0.91,1.69254611916952
"351","TCGA-61-1728-01",0.86,3.53,0.39,3.21255967028143,0.79,4.48845864195795
"354","TCGA-61-1736-01",0.81,1.85,0.78,1.79576427416746,0.78,1.79583722150321
"372","TCGA-61-1919-01",0.66,2.91,0.5,2.87013085773987,0.4,3.27163532599213
"373","TCGA-61-1995-01",0.83,1.68,0.8,1.64283880954785,0.8,1.64283789368754
"374","TCGA-61-1998-01",0.72,1.95,0.39,2.73732702418243,0.46,3.73835458657535
"375","TCGA-61-2000-01",0.92,2.15,0.6,3.03289762080493,0.61,3.02830367023089
"376","TCGA-61-2002-01",0.69,1.92,0.66,1.88884137533482,0.66,1.8888411183627
"377","TCGA-61-2003-01",0.47,3.66,0.44,3.58720224923061,0.44,3.57717462977178
"378","TCGA-61-2008-01",0.78,3.13,0.69,3.08377094981141,0.69,3.08131154527319
"379","TCGA-61-2009-01",0.57,3.58,0.52,3.38908567240979,0.48,3.51369701051619
"380","TCGA-61-2012-01",0.58,2.9,0.61,2.84958308551437,0.6,2.86719398179584
"381","TCGA-61-2016-01",0.88,1.74,0.82,1.70675922113004,0.72,3.39427663622124
"382","TCGA-61-2018-01",0.75,1.9,0.6,1.86193485830172,0.6,1.86134437658047
"383","TCGA-61-2087-01",0.93,1.82,0.9,1.85059321900055,0.9,1.85053882551347
"384","TCGA-61-2088-01",0.93,3.21,0.87,3.29072995129647,0.89,3.28542531294381
"385","TCGA-61-2092-01",0.93,2.08,0.26,2.05386894281481,0.26,2.05330683590817
"386","TCGA-61-2094-01",0.6,1.79,0.37,3.48355490013217,0.36,3.48310977214078
"388","TCGA-61-2096-01",0.91,1.86,0.87,1.81679216527818,0.87,1.81717163664763
"389","TCGA-61-2097-01",0.61,3.2,0.56,3.26259625277538,0.56,3.26246195107808
"390","TCGA-61-2101-01",0.82,3.23,0.79,3.1246632155013,0.8,3.11786765274527
"391","TCGA-61-2102-01",0.92,2.57,0.85,2.65596334604237,0.85,2.66643267738419
"392","TCGA-61-2104-01",0.75,3.05,0.73,2.95047151272159,0.73,2.94942973188908
"393","TCGA-61-2109-01",0.91,1.91,0.87,1.89921296264259,0.87,1.89919683079461
"394","TCGA-61-2110-01",0.86,1.79,0.53,2.58002981129694,0.56,4.30122328475838
"395","TCGA-61-2113-01",0.49,4.63,0.48,2.42861767848277,0.48,2.44356916814799
"408","TCGA-20-0996-01",NA,NA,0.15,1.89434585544207,0.15,1.90353049623468
"410","TCGA-59-2349-01",NA,NA,0.41,2.05560288635129,0.65,2.05474103848322
"411","TCGA-61-2111-01",NA,NA,0.51,3.41012969052446,0.4,2.48520817637244
"412","TCGA-04-1332-01",0.5,2.76,0.32,2.49867941257764,0.32,2.62031302215723
"437","TCGA-09-2045-01",0.92,2.05,0.89,2.027517146594,0.89,2.02757216194034
"440","TCGA-09-2056-01",0.89,1.77,0.86,1.74544664143072,0.86,1.7454371143957
"503","TCGA-24-1930-01",0.66,2.97,0.6,2.90777243385555,NA,NA
"506","TCGA-24-2026-01",0.76,5.1,0.69,4.90730632741614,NA,NA
"509","TCGA-24-2036-01",0.94,1.91,0.9,1.91636799945411,0.91,1.91620566989409
"530","TCGA-25-2408-01",0.79,1.98,0.78,1.99496256166525,0.77,1.99492676630173
"531","TCGA-25-2409-01",0.72,3.79,0.7,3.81376811972018,0.7,3.81356292841863
"536","TCGA-29-2428-01",0.78,3.17,0.78,3.09476809647608,NA,NA
"566","TCGA-61-1724-01",0.87,1.76,0.74,3.47857015169684,NA,NA
"567","TCGA-61-1734-01",0.9,1.94,0.67,3.78763715359228,0.67,3.80202842709654
"571","TCGA-61-2017-01",0.88,1.98,0.55,2.96053555280792,NA,NA
"572","TCGA-61-2098-01",0.85,3.34,0.79,3.2531348189684,NA,NA
