"","SampleId","Purity_ABS","Ploidy_ABS","Purity_PCN_t","Ploidy_PCN_t","Purity_PCN_p","Ploidy_PCN_p","Purity_FACETS","Ploidy_FACETS","Sample"
"26","TCGA-13-0903-01",0.88,1.86,0.85,1.86519413659219,0.85,1.86514886695314,0.823199719030926,1.92199867060322,"OV"
"27","TCGA-13-0910-01",0.77,1.77,0.73,1.72908757257082,0.73,1.72920381193458,0.726037147505197,1.86086894773467,"OV"
"28","TCGA-13-0912-01",0.94,1.88,0.92,1.89555755778429,0.92,1.89564670941611,0.915478076603224,1.9340330283688,"OV"
"29","TCGA-13-1405-01",0.68,1.7,0.62,1.66381011603661,0.61,1.67021445461805,0.613182949591915,1.77944460446887,"OV"
"30","TCGA-13-1481-01",0.65,1.83,0.43,4.30948836166271,0.43,4.374519851491,0.458087107977021,3.98619078591951,"OV"
"31","TCGA-13-1482-01",0.86,1.91,0.84,1.91720925447964,0.84,1.91720046720237,0.825449675959922,1.92349995861603,"OV"
"32","TCGA-13-1483-01",0.77,1.93,0.67,1.95266031125047,0.67,1.95029407773912,0.552811103836121,4.1975920507467,"OV"
"33","TCGA-13-1488-01",0.73,2.69,0.6,2.90002094810877,0.61,2.89996429216797,0.652660614134829,3.59021027833949,"OV"
"34","TCGA-13-1491-01",0.9,1.67,0.88,1.64100981308893,0.88,1.64082013233545,0.882460027396122,1.62435660867609,"OV"
"35","TCGA-13-1497-01",0.85,2.79,0.79,2.84575901902181,0.79,2.84735249928199,0.805726691978228,2.82729391808552,"OV"
"36","TCGA-13-1498-01",0.89,1.95,0.86,1.9037568287152,0.86,1.90231510708351,0.746688969760044,3.85504510727842,"OV"
"37","TCGA-13-1499-01",0.42,2.76,0.41,2.78272306581923,0.41,2.78140377991019,0.434883302093971,2.89412418259126,"OV"
"38","TCGA-13-1500-01",0.74,1.86,0.74,1.87273698394391,0.61,3.72254530472937,0.779999036011369,1.84220038911015,"OV"
"39","TCGA-13-1506-01",0.94,3.33,0.89,3.22360638243408,0.89,3.23245517463321,0.828537361011659,3.33563016593714,"OV"
"40","TCGA-13-1507-01",0.73,2.91,0.67,2.84943108967211,0.67,2.84874908993636,0.674300024510147,2.7408590479143,"OV"
"41","TCGA-13-1509-01",0.78,1.76,0.71,1.74939059981554,0.71,1.74925391089186,0.688176323148549,1.73510774089906,"OV"
"42","TCGA-13-2060-01",0.65,3.38,0.58,3.30366611411943,0.58,3.30837739039279,0.55248508092121,3.4011198864254,"OV"
"43","TCGA-20-1682-01",0.82,1.76,0.76,1.82858647147607,0.76,1.82817421589642,0.610379769732829,3.73354244361806,"OV"
"44","TCGA-20-1683-01",0.89,3,0.85,2.93255627980133,0.86,2.93234074457549,0.820279223129967,3.19304326098734,"OV"
"45","TCGA-20-1684-01",0.96,2.95,0.91,2.87182693908629,0.92,2.87181980585096,0.858936546419642,3.03184145703341,"OV"
"46","TCGA-20-1685-01",0.74,3.26,0.69,3.36073575025312,0.69,3.35784926239837,0.665023595610742,3.45449863975749,"OV"
"47","TCGA-20-1686-01",0.82,3.25,0.7,3.30364045597932,0.7,3.2965941391009,0.690696837932852,3.34423001893958,"OV"
"48","TCGA-20-1687-01",0.76,3.54,0.76,3.56444126128597,0.76,3.55803178789977,0.712313976861135,3.55945553941427,"OV"
"49","TCGA-23-1029-01",0.83,1.92,0.77,1.87627193402524,0.77,1.87550926336553,0.584354023975981,4.08634064032366,"OV"
"50","TCGA-23-1111-01",0.83,4.22,0.73,4.19614003447634,0.72,4.20570435852412,0.79339608397966,4.41678118745257,"OV"
"51","TCGA-23-1114-01",0.76,4.19,0.57,4.54180785029062,0.56,4.52288560337812,0.674714329500949,4.51205694277059,"OV"
"52","TCGA-23-1809-01",0.8,3.71,0.77,3.64351673187457,0.77,3.64985374128359,0.718995957468894,3.94553982467638,"OV"
"53","TCGA-23-2072-01",0.81,2.69,0.78,2.70138366154766,0.76,2.70159137766456,0.739657478145085,2.65078855464989,"OV"
"54","TCGA-23-2077-01",0.47,6.14,0.56,2.83384617721324,0.55,2.85139073676872,0.480776570622466,3.56374956613818,"OV"
"55","TCGA-23-2078-01",0.6,1.98,0.67,3.00418568995954,0.48,3.82579546903755,0.657469277470129,2.32264194727377,"OV"
"56","TCGA-23-2079-01",0.79,2.51,0.75,2.46614721084547,0.75,2.46623588348596,0.724152216826332,2.6779387314103,"OV"
