"","SampleId","HLAA_major_ABS","HLAA_minor_ABS","HLAA_LOH_ABS","HLAB_major_ABS","HLAB_minor_ABS","HLAB_LOH_ABS","HLAC_major_ABS","HLAC_minor_ABS","HLAC_LOH_ABS","TP53_major_ABS","TP53_minor_ABS","TP53_LOH_ABS","HLAA_major_PCN","HLAA_minor_PCN","HLAA_LOH_PCN","HLAB_major_PCN","HLAB_minor_PCN","HLAB_LOH_PCN","HLAC_major_PCN","HLAC_minor_PCN","HLAC_LOH_PCN","TP53_major_PCN","TP53_minor_PCN","TP53_LOH_PCN","Kit","Sample"
"57","TCGA-31-1953-01",4,2,FALSE,4,2,FALSE,4,2,FALSE,6,0,TRUE,4,2,FALSE,4,2,FALSE,4,2,FALSE,6,0,TRUE,"931070","OV"
"58","TCGA-31-1959-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,"931070","OV"
"59","TCGA-57-1992-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,TRUE,2,2,FALSE,2,2,FALSE,2,2,FALSE,4,0,TRUE,"931070","OV"
"60","TCGA-57-1993-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,2,0,TRUE,3,2,FALSE,3,2,FALSE,3,2,FALSE,2,0,TRUE,"931070","OV"
"61","TCGA-57-1994-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,3,0,TRUE,3,1,FALSE,3,1,FALSE,3,1,FALSE,3,0,TRUE,"931070","OV"
"62","TCGA-59-2350-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,"931070","OV"
"63","TCGA-59-2351-01",2,1,FALSE,NA,NA,NA,NA,NA,NA,2,0,TRUE,2,1,FALSE,2,0,TRUE,2,1,FALSE,2,0,TRUE,"931070","OV"
"64","TCGA-59-2352-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,0,TRUE,2,2,FALSE,2,2,FALSE,2,2,FALSE,4,0,TRUE,"931070","OV"
"65","TCGA-59-2354-01",1,0,TRUE,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,0,TRUE,1,1,FALSE,1,1,FALSE,1,0,TRUE,"931070","OV"
"66","TCGA-59-2355-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,1,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE,1,0,TRUE,"931070","OV"
"67","TCGA-59-2363-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,1,0,TRUE,2,0,TRUE,1,0,TRUE,2,0,TRUE,1,0,TRUE,"931070","OV"
"68","TCGA-61-1728-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,2,0,TRUE,4,0,TRUE,2,0,TRUE,2,0,TRUE,1,0,TRUE,"931070","OV"
"69","TCGA-61-1736-01",1,0,TRUE,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,0,TRUE,2,0,TRUE,2,0,TRUE,1,0,TRUE,"931070","OV"
"70","TCGA-61-1919-01",3,3,FALSE,3,3,FALSE,3,3,FALSE,1,0,TRUE,3,3,FALSE,3,3,FALSE,3,3,FALSE,2,0,TRUE,"931070","OV"
"71","TCGA-61-1995-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,"931070","OV"
"72","TCGA-61-1998-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,1,0,TRUE,3,1,FALSE,3,1,FALSE,3,1,FALSE,2,0,TRUE,"931070","OV"
"73","TCGA-61-2000-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE,1,0,TRUE,"931070","OV"
"74","TCGA-61-2002-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,1,0,TRUE,"931070","OV"
"75","TCGA-61-2003-01",6,0,TRUE,6,0,TRUE,6,0,TRUE,2,0,TRUE,6,0,TRUE,6,0,TRUE,6,0,TRUE,3,0,TRUE,"931070","OV"
"76","TCGA-61-2008-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,"931070","OV"
"77","TCGA-61-2009-01",5,1,FALSE,5,1,FALSE,5,1,FALSE,3,0,TRUE,4,1,FALSE,4,1,FALSE,4,1,FALSE,3,0,TRUE,"931070","OV"
"78","TCGA-61-2012-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,7,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,9.71926771545371,0,TRUE,"931070","OV"
"79","TCGA-61-2016-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,1,FALSE,3,2,FALSE,1,1,FALSE,1,0,TRUE,"931070","OV"
"80","TCGA-61-2018-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,4,0,TRUE,"931070","OV"
"81","TCGA-61-2087-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,TRUE,1,1,FALSE,NA,NA,NA,1,1,FALSE,2,0,TRUE,"931070","OV"
"82","TCGA-61-2088-01",2,1,FALSE,NA,NA,NA,NA,NA,NA,2,0,TRUE,3,1,FALSE,1,2,FALSE,2,1,FALSE,2,0,TRUE,"931070","OV"
"83","TCGA-61-2092-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,1,1,FALSE,"931070","OV"
"84","TCGA-61-2094-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,"931070","OV"
"85","TCGA-61-2096-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,1,0,TRUE,"931070","OV"
"86","TCGA-61-2097-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,0,TRUE,2,2,FALSE,2,2,FALSE,2,2,FALSE,4,0,TRUE,"931070","OV"
"87","TCGA-61-2101-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,2,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE,2,0,TRUE,"931070","OV"
"88","TCGA-61-2102-01",NA,NA,NA,2,1,FALSE,2,1,FALSE,1,0,TRUE,1,1,FALSE,2,1,FALSE,2,1,FALSE,1,0,TRUE,"931070","OV"
"89","TCGA-61-2104-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,"931070","OV"
"90","TCGA-61-2109-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,1,0,TRUE,"931070","OV"
"91","TCGA-61-2110-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,"931070","OV"
"92","TCGA-61-2113-01",5,2,FALSE,5,2,FALSE,5,2,FALSE,4,0,TRUE,3,0,TRUE,NA,NA,NA,3,0,TRUE,1,0,TRUE,"931070","OV"
"93","TCGA-61-1734-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,1,0,TRUE,5,2,FALSE,5,2,FALSE,5,2,FALSE,2,0,TRUE,"931070","OV"
"94","TCGA-13-0924-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,1,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE,1,0,TRUE,"S0293689","OV"
"95","TCGA-29-1768-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,1,0,TRUE,"S0293689","OV"
"96","TCGA-24-1463-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,2,FALSE,1,1,FALSE,1,1,FALSE,1,0,TRUE,"S0293689","OV"
"97","TCGA-13-1507-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE,3,0,TRUE,"S0293689","OV"
"98","TCGA-23-1114-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,0,TRUE,3,2,FALSE,3,2,FALSE,3,2,FALSE,6,0,TRUE,"S0293689","OV"
"99","TCGA-13-1506-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE,3,0,TRUE,"S0293689","OV"
"100","TCGA-10-0935-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,NA,NA,NA,3,0,TRUE,3,0,TRUE,3,0,TRUE,"S0293689","OV"
"101","TCGA-20-1683-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,4,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE,5,0,TRUE,"S0293689","OV"
"102","TCGA-24-0980-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,1,0,TRUE,"S0293689","OV"
"103","TCGA-29-1705-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,1,FALSE,2,1,FALSE,1,1,FALSE,1,0,TRUE,"S0293689","OV"
"104","TCGA-61-1741-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,3,0,TRUE,3,1,FALSE,3,1,FALSE,3,1,FALSE,3,0,TRUE,"S0293689","OV"
"105","TCGA-24-1435-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,"S0293689","OV"
"106","TCGA-13-0890-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,1,0,TRUE,"S0293689","OV"
"107","TCGA-29-1693-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,"S0293689","OV"
"108","TCGA-29-1764-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,2,0,TRUE,4,2,FALSE,5,2,FALSE,3,2,FALSE,2,0,TRUE,"S0293689","OV"
"109","TCGA-61-1895-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,1,0,TRUE,1,2,FALSE,2,1,FALSE,2,1,FALSE,1,0,TRUE,"S0293689","OV"
"110","TCGA-61-1733-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,2,0,TRUE,"S0293689","OV"
"111","TCGA-24-1845-01",4,2,FALSE,4,2,FALSE,4,2,FALSE,2,0,TRUE,4,2,FALSE,4,1,FALSE,11.3171418975931,1,FALSE,2,0,TRUE,"S0293689","OV"
"112","TCGA-24-1428-01",2,2,FALSE,NA,NA,NA,NA,NA,NA,3,0,TRUE,2,2,FALSE,2,2,FALSE,2,2,FALSE,4,0,TRUE,"S0293689","OV"
"113","TCGA-24-1413-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,1,0,TRUE,4,0,TRUE,4,0,TRUE,NA,NA,NA,2,0,TRUE,"S0293689","OV"
"114","TCGA-29-1770-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,"S0293689","OV"
"115","TCGA-13-0724-01",4,0,TRUE,4,0,TRUE,4,0,TRUE,2,0,TRUE,4,0,TRUE,4,1,FALSE,3,1,FALSE,2,0,TRUE,"S0293689","OV"
"116","TCGA-24-1850-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,"S0293689","OV"
"117","TCGA-29-1711-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,1,0,TRUE,"S0293689","OV"
"118","TCGA-30-1714-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,2,0,TRUE,3,2,FALSE,3,2,FALSE,3,2,FALSE,2,0,TRUE,"S0293689","OV"
"119","TCGA-09-0366-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,4,3,FALSE,3,1,FALSE,5,1,FALSE,2,0,TRUE,"S0293689","OV"
"120","TCGA-04-1655-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,3,0,TRUE,3,2,FALSE,2,2,FALSE,2,2,FALSE,3,0,TRUE,"S0293689","OV"
"121","TCGA-61-1910-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,2,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE,2,0,TRUE,"S0293689","OV"
"122","TCGA-13-0723-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,2,0,TRUE,3,1,FALSE,2,1,FALSE,2,1,FALSE,2,0,TRUE,"S0293689","OV"
"123","TCGA-09-1674-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,3,0,TRUE,2,2,FALSE,2,2,FALSE,2,2,FALSE,3,0,TRUE,"S0293689","OV"
"124","TCGA-29-1763-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,3,0,TRUE,3,1,FALSE,3,1,FALSE,3,1,FALSE,3,0,TRUE,"S0293689","OV"
"125","TCGA-29-1778-01",4,2,FALSE,4,2,FALSE,4,2,FALSE,4,0,TRUE,6,0,TRUE,3,2,FALSE,3,2,FALSE,4,0,TRUE,"S0293689","OV"
"126","TCGA-24-0966-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,1,0,TRUE,"S0293689","OV"
"127","TCGA-29-1769-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,5,1,FALSE,3,0,TRUE,3,0,TRUE,3,0,TRUE,"S0293689","OV"
"128","TCGA-61-1907-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,3,2,FALSE,2,2,FALSE,2,1,FALSE,2,0,TRUE,"S0293689","OV"
"129","TCGA-29-1703-01",2,0,TRUE,NA,NA,NA,NA,NA,NA,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,"S0293689","OV"
"130","TCGA-29-1690-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,FALSE,2,1,FALSE,2,1,FALSE,2,1,FALSE,"S0293689","OV"
"131","TCGA-30-1856-01",6,0,TRUE,6,0,TRUE,6,0,TRUE,4,0,TRUE,2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,"S0293689","OV"
"132","TCGA-24-1563-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE,1,0,TRUE,"S0293689","OV"
"133","TCGA-23-1111-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,3,0,TRUE,3,1,FALSE,3,1,FALSE,3,1,FALSE,3,0,TRUE,"S0293689","OV"
"134","TCGA-13-0910-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,1,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,1,0,TRUE,"S0293689","OV"
"135","TCGA-13-1405-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,"S0293689","OV"
"136","TCGA-24-1424-01",3,3,FALSE,3,3,FALSE,3,3,FALSE,3,0,TRUE,3,3,FALSE,4,2,FALSE,3,3,FALSE,3,0,TRUE,"S0293689","OV"
